"caseId","activity","timestamp"
"36","START EVENT","63588403507988"
"37","START EVENT","63588403507988"
"37","START FUNCTION","63588407107988"
"36","START FUNCTION","63588407107988"
"36","helper transition 6[{XOR}->{operating lease procedure should be used}]","63588410707988"
"37","helper transition 6[{XOR}->{operating lease procedure should be used}]","63588410707988"
"37","operating lease procedure should be used","63588414307988"
"36","operating lease procedure should be used","63588414307988"
"37","helper transition 8[{operating lease procedure should be used}->{XOR}]","63588417907988"
"36","helper transition 8[{operating lease procedure should be used}->{XOR}]","63588417907988"
"37","creation of master record for tangible assets","63588421507988"
"36","creation of master record for tangible assets","63588421507988"
"37","helper transition 17[{XOR}->{asset transfer within a client exists}]","63588425107988"
"36","helper transition 17[{XOR}->{asset transfer within a client exists}]","63588425107988"
"37","asset transfer within a client exists","63588428707988"
"36","asset transfer within a client exists","63588428707988"
"36","transfer within a client","63588432307988"
"37","transfer within a client","63588432307988"
"36","10 transition","63588435907988"
"37","10 transition","63588435907988"
"37","retirement is posted in source company code","63588439507988"
"36","retirement is posted in source company code","63588439507988"
"36","acquisition is posted in target company code","63588443107988"
"37","acquisition is posted in target company code","63588443107988"
"36","start 4 transition","63588446707988"
"37","start 4 transition","63588446707988"
"36","END FUNCTION","63588450307988"
"37","END FUNCTION","63588450307988"
"36","END EVENT","63588453907988"
"37","END EVENT","63588453907988"
"38","START EVENT","63588619507988"
"39","START EVENT","63588619507988"
"38","START FUNCTION","63588623107988"
"39","START FUNCTION","63588623107988"
"38","helper transition 6[{XOR}->{operating lease procedure should be used}]","63588626707988"
"39","helper transition 6[{XOR}->{operating lease procedure should be used}]","63588626707988"
"38","operating lease procedure should be used","63588630307988"
"39","operating lease procedure should be used","63588630307988"
"38","helper transition 8[{operating lease procedure should be used}->{XOR}]","63588633907988"
"39","helper transition 8[{operating lease procedure should be used}->{XOR}]","63588633907988"
"39","creation of master record for tangible assets","63588637507988"
"38","creation of master record for tangible assets","63588637507988"
"38","helper transition 17[{XOR}->{asset transfer within a client exists}]","63588641107988"
"39","helper transition 17[{XOR}->{asset transfer within a client exists}]","63588641107988"
"39","asset transfer within a client exists","63588644707988"
"38","asset transfer within a client exists","63588644707988"
"38","transfer within a client","63588648307988"
"39","transfer within a client","63588648307988"
"38","10 transition","63588651907988"
"39","10 transition","63588651907988"
"38","acquisition is posted in target company code","63588655507988"
"39","acquisition is posted in target company code","63588655507988"
"39","retirement is posted in source company code","63588659107988"
"38","retirement is posted in source company code","63588659107988"
"39","start 4 transition","63588662707988"
"38","start 4 transition","63588662707988"
"39","END FUNCTION","63588666307988"
"38","END FUNCTION","63588666307988"
"39","END EVENT","63588669907988"
"38","END EVENT","63588669907988"
"40","START EVENT","63588889507988"
"41","START EVENT","63588889507988"
"40","START FUNCTION","63588893107988"
"41","START FUNCTION","63588893107988"
"41","helper transition 2[{XOR}->{fixed asset was given}]","63588896707988"
"40","helper transition 2[{XOR}->{fixed asset was given}]","63588896707988"
"40","fixed asset was given","63588900307988"
"41","fixed asset was given","63588900307988"
"41","helper transition 0[{fixed asset was given}->{XOR}]","63588903907988"
"40","helper transition 0[{fixed asset was given}->{XOR}]","63588903907988"
"41","creation of master record for tangible assets","63588907507988"
"40","creation of master record for tangible assets","63588907507988"
"40","helper transition 19[{XOR}->{acquisition within group to be posted}]","63588911107988"
"41","helper transition 19[{XOR}->{acquisition within group to be posted}]","63588911107988"
"41","acquisition within group to be posted","63588914707988"
"40","acquisition within group to be posted","63588914707988"
"40","processing of asset acquisition","63588918307988"
"41","processing of asset acquisition","63588918307988"
"40","acquisition within group posted","63588921907988"
"41","acquisition within group posted","63588921907988"
"41","helper transition 15[{acquisition within group posted}->{XOR}]","63588925507988"
"40","helper transition 15[{acquisition within group posted}->{XOR}]","63588925507988"
"41","END FUNCTION","63588929107988"
"40","END FUNCTION","63588929107988"
"41","END EVENT","63588932707988"
"40","END EVENT","63588932707988"
"42","START EVENT","63589123507988"
"43","START EVENT","63589123507988"
"43","START FUNCTION","63589127107988"
"42","START FUNCTION","63589127107988"
"42","helper transition 2[{XOR}->{fixed asset was given}]","63589130707988"
"43","helper transition 2[{XOR}->{fixed asset was given}]","63589130707988"
"42","fixed asset was given","63589134307988"
"43","fixed asset was given","63589134307988"
"42","helper transition 0[{fixed asset was given}->{XOR}]","63589137907988"
"43","helper transition 0[{fixed asset was given}->{XOR}]","63589137907988"
"42","creation of master record for tangible assets","63589141507988"
"43","creation of master record for tangible assets","63589141507988"
"42","helper transition 4[{XOR}->{retirement within group to be posted}]","63589145107988"
"43","helper transition 4[{XOR}->{retirement within group to be posted}]","63589145107988"
"43","retirement within group to be posted","63589148707988"
"42","retirement within group to be posted","63589148707988"
"43","retirement","63589152307988"
"42","retirement","63589152307988"
